,A1,A2,E1,E2
0,0.0,0.0,0.0,0.0
1,-1.346695417017152,-1.6653345369377348e-13,2.2233798461628314,-1.6653345369377346e-13
2,-1.039297035228287,-2.220446049250313e-13,2.004516103508741,-1.6653345369377346e-13
3,-0.7733130998612002,-1.3877787807814457e-13,1.6379000541605901,-1.1102230246251565e-13
4,-0.560819154400885,-1.249000902703301e-13,1.2648388615049688,-6.938893903907228e-14
5,-0.3990444064009696,-4.85722573273506e-14,0.9415433202331,-2.0816681711721682e-14
6,-0.27979555476436574,-5.551115123125783e-14,0.6830391077798161,-2.0816681711721682e-14
7,-0.1939053002679436,-3.122502256758253e-14,0.48612609975326804,-3.469446951953614e-15
8,-0.1331100105811684,-1.3877787807814457e-14,0.3409191457896289,1.0408340855860841e-14
9,0.0,0.0,0.0,0.0
10,0.01991573402693181,-1.3752037136890438,-0.04681729294941927,4.3796517482447275
11,-0.27282773736081456,-1.3874031315264101,0.16751431152617346,4.866408693837143
12,-0.49528499926310143,-1.4015562993399122,0.4972483613988609,5.32136224081181
13,-0.6436372848857008,-1.4096897316501211,0.7975217042995864,5.701010909036962
14,-0.7284027976047769,-1.4082705406104346,1.018761917449651,5.988156232832331
15,-0.764065430574612,-1.3963174644404663,1.1553250734815945,6.180558543165904
16,-0.7644777115803912,-1.3742506806110333,1.219268971831444,6.28404415612449
17,-0.7411661969829453,-1.34319967277996,1.2276367843273572,6.308370991028989
18,0.0,0.0,0.0,0.0
19,1.3267796829901088,1.3752037136887107,-2.1765625532130795,-4.379651748244395
20,1.3121247725891294,1.3874031315266322,-2.1720304150352194,-4.866408693837476
21,1.268598099124052,1.4015562993403563,-2.135148415559618,-5.3213622408117
22,1.204456439286794,1.4096897316502321,-2.0623605658043327,-5.701010909037407
23,1.1274472040057049,1.4082705406104346,-1.9603052376824246,-5.988156232832108
24,1.0438609853389291,1.3963174644409104,-1.8383641812615978,-6.180558543166015
25,0.9583830118478075,1.3742506806111443,-1.7053950715846256,-6.284044156124269
26,0.8742762075641951,1.343199672780182,-1.5685559301172878,-6.308370991028767
